,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,likes_people,keep_in,prob_likes,labels,age_interval
1697,504,0,7.33,female,Unknown Mix,2013-02-20,2013-04-10,2013-03-22,black and brown,wirehaired,medium,unknow,yes,both flat and garden,0.9741337970047408,8,Young
1698,347,0,7.75,male,Unknown Mix,2013-03-26,2013-03-26,2013-03-27,black,wirehaired,small,unknow,no,unknow,0.3574905495191812,2,Young
1699,73,0,10.0,male,Unknown Mix,2013-02-15,2013-02-15,2013-04-09,red,short,medium,yes,yes,garden,0.9476278934048684,6,Middle_age
1700,4,0,10.75,male,Tibetan Terrier,2012-12-17,2013-03-01,2013-03-12,black,long,medium,unknow,yes,both flat and garden,0.9330592255143011,5,Middle_age
1701,11,0,8.17,female,Unknown Mix,2013-03-01,2013-03-01,2013-03-14,black and brown,short,large,yes,yes,unknow,0.6130355938396864,3,Young
1702,1,0,8.92,male,"Beagle, Chihuahua Mix",2013-03-18,2013-03-18,2013-03-18,black and white,short,small,no,yes,both flat and garden,0.9661772478774864,7,Middle_age
1703,9,0,7.75,male,Unknown Mix,2013-03-01,2013-03-14,2013-03-14,black,short,small,unknow,yes,both flat and garden,0.9603476856610598,7,Young
1704,432,0,12.67,female,Dachshund Mix,2013-03-05,2013-03-05,2013-03-19,red,short,small,unknow,no,unknow,0.09944121428433661,1,Old
1705,503,0,7.33,female,Unknown Mix,2013-02-20,2013-04-10,2013-03-22,black and brown,wirehaired,medium,unknow,yes,both flat and garden,0.9741337970047408,8,Young
1706,495,0,7.0,female,Unknown Mix,2013-02-20,2013-04-20,2013-03-08,brown,short,medium,unknow,yes,both flat and garden,0.9563196300511714,7,Young
1707,515,0,8.08,female,Unknown Mix,2011-11-12,2011-11-12,2013-03-12,black,medium,medium,yes,yes,both flat and garden,0.9337896654581853,5,Young
1708,501,0,10.92,female,Dachshund Mix,2013-02-26,2013-03-31,2013-03-19,red,long,small,unknow,yes,both flat and garden,0.9613865330947594,7,Old
1709,913,0,7.25,male,Terrier Mix,2013-03-01,2013-03-01,2013-03-03,black and tan,short,medium,unknow,yes,both flat and garden,0.9744400798740233,8,Young
1710,2,0,10.75,male,Unknown Mix,2013-02-10,2013-02-28,2013-03-11,black,long,medium,unknow,yes,unknow,0.5764862378675812,3,Middle_age
1711,5,0,16.75,male,Pekingese,2013-02-15,2013-02-15,2013-03-13,red,long,small,unknow,yes,unknow,0.6381102232876531,3,Old
1712,2016,0,7.25,male,Unknown Mix,2013-03-01,2013-03-01,2013-03-03,yellow-brown,medium,medium,unknow,no,unknow,0.33739708821588565,2,Young
1713,502,0,7.33,female,Unknown Mix,2013-02-07,2013-03-31,2013-03-21,sable,wirehaired,medium,unknow,yes,both flat and garden,0.9875820918119289,10,Young
1714,5,0,8.17,male,Unknown Mix,2013-02-08,2013-03-05,2013-03-05,gray,short,medium,yes,yes,both flat and garden,0.9779052232727035,9,Young
1715,6,0,8.75,male,Unknown Mix,2012-01-01,2013-01-14,2013-03-13,brown and white,short,medium,unknow,yes,unknow,0.7551594442318365,4,Middle_age
1716,428,0,7.67,female,Dachshund Mix,2013-03-05,2013-03-05,2013-03-05,red,short,small,unknow,no,unknow,0.08132662350892285,1,Young
1717,1,1,13.75,male,Unknown Mix,2013-02-14,2013-02-14,2013-03-11,yellow-brown,short,small,unknow,yes,unknow,0.7009859685706538,3,Old
1718,3,0,10.75,male,Unknown Mix,2013-02-10,2013-02-28,2013-03-11,black and tan,medium,medium,unknow,yes,unknow,0.5970108406468446,3,Middle_age
1719,345,0,12.92,male,Puli,2013-03-05,2013-03-05,2013-03-05,black,long,medium,unknow,yes,unknow,0.20124998446045508,2,Old
1720,340,0,7.92,male,Dachshund Mix,2013-02-25,2013-02-25,2013-02-27,yellow,short,medium,unknow,yes,unknow,0.52028127166772,3,Young
1721,35,0,8.25,female,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,spotty,short,medium,unknow,no,unknow,0.26210946398468576,2,Young
1722,333,0,8.17,female,Staffordshire Terrier Mix,2013-02-20,2013-02-20,2013-02-21,black and white,short,medium,unknow,no,unknow,0.28225239089265536,2,Young
1723,819,0,14.75,male,Unknown Mix,2013-01-02,2013-01-02,2013-02-28,brown,medium,large,unknow,no,unknow,0.1304748332641286,1,Old
1724,335,0,7.92,female,Unknown Mix,2013-02-21,2013-02-21,2013-02-21,brown,short,medium,unknow,yes,unknow,0.5926859938686332,3,Young
1725,33,0,7.0,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,apricot,short,medium,yes,no,garden,0.8598992845464176,4,Young
1726,31,0,7.42,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,black,medium,small,unknow,no,both flat and garden,0.6492529311142523,3,Young
1727,825,0,18.75,male,Unknown Mix,2012-12-15,2012-12-15,2013-02-28,black and white,short,large,no,yes,garden,0.9676422878787319,8,Old
1728,835,0,9.75,male,Chinese Shar-Pei,2012-11-27,2012-11-27,2013-02-28,yellow-brown,short,medium,unknow,yes,unknow,0.769888757689554,4,Middle_age
1729,253,0,7.75,female,Caucasian Ovtcharka Mix,2012-12-29,2012-12-29,2013-02-23,apricot,medium,medium,unknow,yes,both flat and garden,0.9705079181439544,8,Young
1730,32,0,8.25,female,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,black and white,medium,medium,unknow,no,unknow,0.2720404335608977,2,Young
1731,334,0,8.25,male,Unknown Mix,2013-02-20,2013-02-20,2013-02-21,black and brown,short,medium,unknow,yes,unknow,0.5983723442342307,3,Young
1732,332,0,7.92,male,Staffordshire Terrier Mix,2013-02-20,2013-02-20,2013-02-21,yellow-brown,short,medium,unknow,yes,unknow,0.8215265615322815,4,Young
1733,338,0,9.25,male,"Dachshund, Spaniel Mix",2013-02-25,2013-02-25,2013-02-27,black,short,medium,unknow,yes,unknow,0.7527197931601649,4,Middle_age
1734,342,0,10.92,female,Unknown Mix,2013-02-26,2013-02-26,2013-02-27,striped,short,medium,unknow,yes,unknow,0.7879362214496772,4,Old
1735,37,0,12.58,female,Unknown Mix,2012-07-01,2012-07-01,2013-03-01,brown,short,medium,yes,yes,garden,0.9431016262833676,6,Old
1736,326,0,7.08,female,Unknown Mix,2013-02-20,2013-02-20,2013-02-21,yellow-brown,wirehaired,medium,unknow,no,unknow,0.1563817338495855,2,Young
1737,34,0,7.08,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,black,medium,medium,unknow,no,unknow,0.4014341191858514,3,Young
1738,30,0,7.67,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,apricot,short,medium,yes,no,unknow,0.07244801769737197,1,Young
1739,403,0,7.75,male,Unknown Mix,2013-02-01,2013-02-01,2013-02-25,red,short,medium,unknow,no,unknow,0.3987913963960268,3,Young
1740,27,0,7.08,male,Unknown Mix,2013-01-01,2013-01-01,2013-02-20,black,medium,medium,unknow,no,unknow,0.4014341191858514,3,Young
1741,397,0,9.83,female,German Shepherd Dog Mix,2013-01-10,2013-01-10,2013-02-10,sable,short,large,unknow,no,unknow,0.1495518124599998,2,Middle_age
1742,898,0,12.5,female,Unknown Mix,2013-01-23,2013-01-23,2013-02-05,black,short,medium,yes,yes,both flat and garden,0.8604720234999774,4,Old
